id,side,polarity,avg_bg,backdrop_ring_mean,corner_path_trusted,contour_idx,mechanism,cost_tier,hole_frac,largest_hole_frac,n_holes,area_frac_frame,circularity,area_ratio,geo_conf,edge_support,enc_r,roi_px,touches_border,max_dip_run_deg,max_spike_run_deg,n_spike_runs,cv_r,solidity,roi_px_,deficit_frac_bglike,deficit_frac_darker,blob_mean,deficit_mean
755362,obv,BIN,29.53,78.94,False,3,sub_coin_noise_blob,cheap,0.0,0.0,0,0.00026,0.2973,0.2599,0.3352,0.0,26.3,2542,False,81.0,56.0,4,0.5224,0.6419,2542,0.0288,0.0,65.3449,58.3103
755362,obv,BIN,29.53,78.94,False,11,relief_self_segmentation,cheap,0.0,0.0,0,0.00031,0.3751,0.2074,0.3247,1.0,31.9,3072,False,92.0,61.0,2,0.5764,0.8415,3072,0.4774,0.2473,114.7231,32.3069
755362,obv,BIN,29.53,78.94,False,25,relief_self_segmentation,cheap,0.0,0.0,0,0.00063,0.5484,0.4301,0.53,1.0,31.8,3618,False,17.0,36.0,5,0.2285,0.8393,3618,0.2399,0.1353,167.0987,61.8156
755362,obv,BIN,29.53,78.94,False,28,relief_self_segmentation,cheap,0.0551,0.0169,3,0.03792,0.1119,0.3259,0.5135,0.9898,282.8,291081,False,70.0,39.0,5,0.3296,0.6809,291081,0.2026,0.1197,149.4717,84.4972
755362,obv,BIN,29.53,78.94,False,30,relief_self_segmentation,cheap,0.0,0.0,0,0.0008,0.2031,0.1771,0.3871,1.0,55.8,10816,False,133.0,68.0,2,0.8977,0.5017,10816,0.3913,0.1494,102.0208,48.8378
755362,obv,BIN,29.53,78.94,False,38,relief_self_segmentation,cheap,0.0,0.0,0,0.00051,0.3535,0.3391,0.5049,1.0,32.1,4466,False,58.0,37.0,5,0.3285,0.6334,4466,0.0331,0.004,163.8797,98.319
755362,obv,BIN,29.53,78.94,False,39,relief_self_segmentation,cheap,0.029,0.0,0,0.00373,0.2229,0.2946,0.4587,0.9948,93.3,30800,False,83.0,53.0,2,0.3107,0.5661,30800,0.2366,0.1132,161.4639,71.1818
755362,obv,BIN,29.53,78.94,False,50,relief_self_segmentation,cheap,0.0,0.0,0,0.00601,0.2633,0.3666,0.5297,0.9924,106.1,44238,False,57.0,37.0,4,0.2972,0.71,44238,0.0618,0.0402,176.0858,100.1355
755362,obv,BIN,29.53,78.94,False,53,relief_self_segmentation,cheap,0.0,0.0,0,0.00039,0.343,0.2056,0.3458,1.0,36.1,3393,False,117.0,65.0,2,0.7125,0.7167,3393,0.2269,0.0475,105.8172,48.695
755362,obv,BIN,29.53,78.94,False,54,relief_self_segmentation,cheap,0.0375,0.0143,1,0.02569,0.1164,0.1835,0.4073,0.9929,310.2,281903,False,65.0,86.0,2,0.447,0.6333,281903,0.1827,0.0732,119.7515,74.3992
755362,obv,BIN,29.53,78.94,False,71,relief_self_segmentation,cheap,0.0,0.0,0,0.00062,0.2784,0.1697,0.308,1.0,50.2,7480,False,82.0,65.0,2,0.7537,0.7712,7480,0.2265,0.0312,97.8928,64.7352
755362,obv,BIN,29.53,78.94,False,79,relief_self_segmentation,cheap,0.0069,0.0,0,0.0084,0.0666,0.1214,0.343,0.0801,218.2,144625,False,97.0,73.0,4,0.8676,0.4333,144625,0.1516,0.0403,91.3871,75.0982
755362,obv,BIN,29.53,78.94,False,96,relief_self_segmentation,cheap,0.0,0.0,0,0.00016,0.1391,0.1182,0.2876,0.0,30.7,2880,False,104.0,61.0,5,0.645,0.3688,2880,0.0,0.0,98.5435,94.1657
755362,obv,BIN,29.53,78.94,False,103,multi_object_weld,expensive,0.0868,0.0549,3,0.05482,0.0824,0.1662,0.4336,0.9986,476.3,762188,False,117.0,54.0,2,0.4813,0.3909,762188,0.1073,0.0383,145.7827,108.6144
755362,obv,BIN,29.53,78.94,False,106,multi_object_weld,expensive,0.063,0.0169,5,0.08064,0.023,0.3028,0.4937,0.9991,427.9,728330,False,50.0,37.0,4,0.3513,0.4692,728330,0.1508,0.0568,154.608,90.8763
755362,rev,BIN,29.93,78.95,False,7,relief_self_segmentation,cheap,0.0,0.0,0,0.00038,0.3757,0.3697,0.5152,1.0,26.7,2898,False,75.0,72.0,3,0.4553,0.6865,2898,0.0421,0.0105,152.2867,91.9951
755362,rev,BIN,29.93,78.95,False,12,relief_self_segmentation,cheap,0.0,0.0,0,0.00017,0.3961,0.3913,0.3641,0.0,17.1,1209,False,60.0,66.0,5,0.3345,0.6581,1209,0.0,0.0,94.3168,89.3
755362,rev,BIN,29.93,78.95,False,24,relief_self_segmentation,cheap,0.0,0.0,0,0.00032,0.4761,0.3569,0.4871,1.0,24.9,2352,False,94.0,58.0,3,0.3824,0.8164,2352,0.283,0.038,169.9827,61.246
755362,rev,BIN,29.93,78.95,False,27,relief_self_segmentation,cheap,0.0,0.0,0,0.0014,0.1238,0.2272,0.3226,0.0254,65.1,14351,False,62.0,72.0,3,0.5352,0.4874,14351,0.0122,0.0,94.8332,88.7159
755362,rev,BIN,29.93,78.95,False,35,relief_self_segmentation,cheap,0.0,0.0,0,0.00033,0.2168,0.262,0.3692,0.0,29.3,3402,False,71.0,56.0,4,0.4299,0.5076,3402,0.0,0.0,98.5977,93.6335
755362,rev,BIN,29.93,78.95,False,46,unclassified_ragged,expensive,0.1847,0.0772,44,0.31248,0.0588,0.7199,0.5063,0.99,546.3,1487814,False,1.0,0.0,0,0.0524,0.8442,1487814,0.1864,0.0858,141.5934,69.4634
755363,obv,BIN,96.0,78.94,False,10,sub_coin_noise_blob,cheap,0.0,0.0,0,0.00288,0.1872,0.2996,0.5134,1.0,81.3,25155,False,85.0,38.0,5,0.3226,0.5797,25155,0.1108,0.7648,151.1405,63.9671
755363,obv,BIN,96.0,78.94,False,17,sub_coin_noise_blob,cheap,0.0,0.0,0,0.00046,0.32,0.4057,0.5165,1.0,28.0,3080,False,92.0,40.0,3,0.2099,0.6617,3080,0.1661,0.7952,133.8594,63.9159
755363,obv,BIN,96.0,78.94,False,20,unclassified_ragged,expensive,0.2427,0.093,18,0.28185,0.052,0.7763,0.5504,0.9994,499.6,1381794,False,2.0,0.0,0,0.0662,0.8098,1381794,0.1628,0.7509,134.325,60.9208
755365,rev,BIN,28.99,78.95,False,31,sub_coin_noise_blob,cheap,0.0,0.0,0,0.00026,0.2387,0.2074,0.4604,1.0,29.4,2992,False,72.0,103.0,2,0.5925,0.61,2992,0.024,0.0,112.0739,89.6403
755366,obv,BIN,96.0,78.94,False,5,relief_self_segmentation,cheap,0.0,0.0,0,0.00067,0.1867,0.3131,0.5165,1.0,38.4,5696,False,56.0,54.0,4,0.479,0.5528,5696,0.253,0.5002,137.7182,76.568
755366,obv,BIN,96.0,78.94,False,10,relief_self_segmentation,cheap,0.0,0.0,0,0.00019,0.2211,0.1119,0.4316,1.0,34.6,3600,False,115.0,87.0,3,1.7767,0.7279,3600,0.1107,0.7009,131.0206,66.1893
755366,obv,BIN,96.0,78.94,False,24,relief_self_segmentation,cheap,0.0,0.0,0,0.00016,0.1544,0.0862,0.4091,1.0,35.6,3888,False,142.0,57.0,2,1.2128,0.4939,3888,0.1505,0.6735,162.0627,72.932
755366,obv,BIN,96.0,78.94,False,26,relief_self_segmentation,cheap,0.0,0.0,0,0.00099,0.1063,0.0576,0.3921,0.9978,108.5,18980,False,149.0,83.0,2,2.2464,0.5032,18980,0.2402,0.3342,137.7118,108.0226
755366,obv,BIN,96.0,78.94,False,38,relief_self_segmentation,cheap,0.0,0.0,0,0.00021,0.1425,0.0876,0.4153,1.0,40.3,5056,False,79.0,81.0,2,2.2473,0.4205,5056,0.2809,0.3917,155.5449,89.4556
755366,obv,BIN,96.0,78.94,False,68,relief_self_segmentation,expensive,0.1636,0.0531,18,0.26527,0.0334,0.723,0.5706,0.9991,502.3,1358388,False,1.0,0.0,0,0.0533,0.7739,1358388,0.2927,0.5065,143.9724,79.6946
755366,rev,BIN,33.53,78.95,False,2,sub_coin_noise_blob,cheap,0.0,0.0,0,0.00099,0.1692,0.0897,0.4062,1.0,87.1,11704,False,81.0,81.0,2,1.5947,0.7511,11704,0.2634,0.1913,132.6202,67.0594
755368,rev,BIN,96.0,78.95,False,2,sub_coin_noise_blob,cheap,0.0,0.0,0,0.00016,0.2286,0.1458,0.3591,1.0,27.2,2438,False,109.0,90.0,2,1.1922,0.5622,2438,0.5846,0.1534,129.9266,96.2457
755368,rev,BIN,96.0,78.95,False,30,sub_coin_noise_blob,cheap,0.0,0.0,0,0.00058,0.1163,0.2278,0.3528,0.2194,41.8,7760,False,64.0,67.0,4,0.4997,0.3832,7760,0.8782,0.1066,99.3276,92.4723
755369,obv,BIN,31.12,78.94,False,33,sub_coin_noise_blob,cheap,0.0,0.0,0,0.00022,0.2421,0.2459,0.4584,0.9847,24.5,2430,False,91.0,44.0,4,0.5084,0.5278,2430,0.3023,0.0205,113.6541,58.1673
755369,obv,BIN,31.12,78.94,False,41,sub_coin_noise_blob,cheap,0.0,0.0,0,0.00059,0.3217,0.3381,0.4611,1.0,34.6,5467,False,71.0,69.0,3,0.4777,0.641,5467,0.0713,0.2171,151.1952,70.8485
755369,obv,BIN,31.12,78.94,False,53,unclassified_ragged,expensive,0.1069,0.0234,18,0.26253,0.0352,0.6492,0.5147,0.9953,527.3,1463700,False,0.0,0.0,0,0.0528,0.725,1463700,0.2528,0.0856,126.7359,62.4004
755369,rev,BIN,30.36,78.95,False,6,sub_coin_noise_blob,cheap,0.0,0.0,0,0.00128,0.219,0.2473,0.357,0.0,59.7,12555,False,50.0,59.0,4,0.6743,0.63,12555,0.1217,0.0033,75.6646,65.3626
755369,rev,BIN,30.36,78.95,False,44,relief_self_segmentation,cheap,0.0,0.0,0,0.00022,0.0808,0.0566,0.4046,1.0,52.0,6669,False,90.0,123.0,2,2.4294,0.3143,6669,0.0049,0.0005,120.0671,96.0176
755369,rev,BIN,30.36,78.95,False,51,relief_self_segmentation,cheap,0.0,0.0,0,0.00024,0.1481,0.0773,0.3328,1.0,46.3,3663,False,100.0,99.0,2,2.7281,0.6697,3663,0.0298,0.004,130.8241,88.6336
755369,rev,BIN,30.36,78.95,False,54,low_contrast_coastline,expensive,0.1958,0.0571,27,0.3196,0.1752,0.8473,0.616,0.995,509.3,1433994,False,0.0,0.0,0,0.0538,0.9099,1433994,0.1124,0.0229,134.5869,81.1867
755377,obv,BIN,96.0,78.94,False,15,relief_self_segmentation,cheap,0.0,0.0,0,0.0004,0.2472,0.1772,0.4484,1.0,39.3,5280,False,122.0,62.0,2,0.5572,0.5423,5280,0.065,0.911,157.597,56.1595
755377,obv,BIN,96.0,78.94,False,55,relief_self_segmentation,cheap,0.0227,0.0,0,0.00733,0.1703,0.2429,0.3451,0.0,144.1,74229,False,77.0,79.0,4,0.5553,0.6914,74229,0.3774,0.5514,88.1532,72.7274
755377,obv,BIN,96.0,78.94,False,80,relief_self_segmentation,cheap,0.0,0.0,0,0.00021,0.6065,0.3921,0.4367,1.0,19.0,1100,False,69.0,97.0,2,0.4075,0.9048,1100,0.1449,0.7804,150.3837,55.4533
755377,obv,BIN,96.0,78.94,False,89,relief_self_segmentation,cheap,0.0,0.0,0,0.00151,0.1853,0.1962,0.437,1.0,72.8,16435,False,105.0,75.0,3,0.6743,0.5367,16435,0.2067,0.6898,134.9406,66.1245
755377,obv,BIN,96.0,78.94,False,115,unclassified_ragged,expensive,0.0978,0.0611,11,0.2079,0.0225,0.5582,0.5577,0.9776,506.0,1341837,False,13.0,8.0,1,0.085,0.656,1341837,0.3232,0.5818,142.5031,71.9023
755377,rev,BIN,96.0,78.95,False,14,relief_self_segmentation,cheap,0.0,0.0,0,0.00222,0.223,0.4229,0.5092,1.0,60.1,16482,False,63.0,53.0,4,0.3918,0.6175,16482,0.0797,0.8364,163.9213,50.9756
755377,rev,BIN,96.0,78.95,False,16,attached_artifact,expensive,0.2258,0.095,16,0.2053,0.0517,0.595,0.5329,0.9998,487.1,1202448,False,47.0,65.0,2,0.1853,0.6932,1202448,0.1923,0.4488,134.3756,93.5371
755377,rev,BIN,96.0,78.95,False,22,relief_self_segmentation,cheap,0.0474,0.0361,1,0.04212,0.1017,0.3019,0.558,1.0,309.7,341040,False,75.0,62.0,6,0.3986,0.6187,341040,0.371,0.3021,143.0428,105.1534
755377,rev,BIN,96.0,78.95,False,23,relief_self_segmentation,cheap,0.0,0.0,0,0.00133,0.1466,0.0825,0.4133,1.0,105.5,21165,False,80.0,92.0,2,1.9505,0.6982,21165,0.5012,0.1364,127.3311,108.7493
755380,obv,BIN,31.03,78.94,False,9,sub_coin_noise_blob,cheap,0.0,0.0,0,0.00024,0.2578,0.1561,0.3735,1.0,32.6,2574,False,114.0,70.0,3,0.7646,0.6595,2574,0.4855,0.1925,69.3684,35.8049
755380,obv,BIN,31.03,78.94,False,10,sub_coin_noise_blob,cheap,0.0,0.0,0,0.00127,0.291,0.205,0.41,1.0,65.3,9828,False,66.0,80.0,2,0.8828,0.7746,9828,0.3753,0.4684,85.0756,24.7168
755380,obv,BIN,31.03,78.94,False,13,sub_coin_noise_blob,cheap,0.0,0.0,0,0.0005,0.1067,0.0618,0.3429,0.9967,74.7,13860,False,77.0,94.0,3,1.729,0.5543,13860,0.393,0.1659,71.4972,49.3224
755380,obv,BIN,31.03,78.94,False,15,relief_self_segmentation,cheap,0.0,0.0,0,0.00061,0.1508,0.0781,0.3613,0.9966,73.3,10150,False,84.0,80.0,2,1.7696,0.64,10150,0.4069,0.1645,139.1219,51.1918
755380,obv,BIN,31.03,78.94,False,17,relief_self_segmentation,cheap,0.0,0.0,0,0.00014,0.3194,0.2151,0.3979,1.0,21.3,1521,False,83.0,102.0,2,0.5194,0.6959,1521,0.2764,0.501,99.4432,29.5176
755380,obv,BIN,31.03,78.94,False,30,sub_coin_noise_blob,cheap,0.0,0.0,0,0.00079,0.1343,0.1148,0.2923,0.0,69.0,14600,False,105.0,81.0,2,1.0734,0.4767,14600,0.1888,0.0132,76.7217,62.852
755380,obv,BIN,31.03,78.94,False,36,relief_self_segmentation,cheap,0.0,0.0,0,0.00247,0.1815,0.2798,0.4877,1.0,77.9,26576,False,82.0,81.0,3,0.5846,0.5146,26576,0.2236,0.016,118.9451,63.7673
755380,obv,BIN,31.03,78.94,False,54,relief_self_segmentation,cheap,0.0,0.0,0,0.00018,0.6204,0.5586,0.5742,1.0,15.1,1116,False,33.0,41.0,5,0.1806,0.8443,1116,0.0037,0.0,118.9224,84.1581
755380,obv,BIN,31.03,78.94,False,56,relief_self_segmentation,cheap,0.0,0.0,0,0.00282,0.219,0.3307,0.5117,0.998,76.6,23840,False,48.0,70.0,3,0.4029,0.6541,23840,0.1324,0.0057,144.4109,103.4269
755380,obv,BIN,31.03,78.94,False,57,relief_self_segmentation,cheap,0.0,0.0,0,0.00065,0.1848,0.1795,0.4472,1.0,49.8,8424,False,70.0,99.0,2,0.7522,0.4631,8424,0.255,0.0165,185.534,71.2935
755380,obv,BIN,31.03,78.94,False,60,relief_self_segmentation,cheap,0.0,0.0,0,0.00035,0.1458,0.091,0.3799,1.0,51.6,8778,False,110.0,97.0,3,1.8839,0.4315,8778,0.0267,0.0,132.5594,97.6936
755380,obv,BIN,31.03,78.94,False,61,relief_self_segmentation,cheap,0.0,0.0,0,0.00709,0.4379,0.3484,0.5153,0.9983,118.3,47472,False,65.0,85.0,2,0.5305,0.8438,47472,0.0375,0.0115,160.4108,98.3173
755380,obv,BIN,31.03,78.94,False,63,relief_self_segmentation,cheap,0.0,0.0,0,0.00026,0.5299,0.4546,0.5661,1.0,19.7,1287,False,56.0,10.0,2,0.1805,0.8233,1287,0.0947,0.0019,184.4983,116.1136
755380,obv,BIN,31.03,78.94,False,65,relief_self_segmentation,cheap,0.0,0.0,0,0.00166,0.1609,0.1912,0.4033,1.0,77.2,18300,False,54.0,86.0,2,0.5171,0.6032,18300,0.0253,0.0,134.561,92.4301
755380,obv,BIN,31.03,78.94,False,70,relief_self_segmentation,cheap,0.0,0.0,0,0.00086,0.4829,0.3594,0.4578,1.0,40.6,5952,False,76.0,49.0,4,0.3443,0.8423,5952,0.0406,0.0,122.4584,75.716
755380,obv,BIN,31.03,78.94,False,73,relief_self_segmentation,cheap,0.0,0.0,0,0.00102,0.2693,0.1521,0.2933,0.9808,68.0,14840,False,49.0,85.0,2,1.2454,0.7984,14840,0.0,0.0,146.0982,110.8117
755380,obv,BIN,31.03,78.94,False,75,relief_self_segmentation,cheap,0.0,0.0,0,0.00059,0.352,0.2165,0.3144,1.0,43.2,4900,False,86.0,83.0,2,0.6472,0.8143,4900,0.0,0.0,141.1881,112.5288
755380,obv,BIN,31.03,78.94,False,78,multi_object_weld,expensive,0.101,0.0533,10,0.15908,0.0231,0.4759,0.521,0.9935,479.4,1222536,False,33.0,8.0,2,0.1165,0.5663,1222536,0.15,0.0479,150.2433,80.3828
755380,obv,BIN,31.03,78.94,False,87,relief_self_segmentation,expensive,0.0139,0.0097,1,0.03223,0.0575,0.101,0.4244,0.9681,468.5,800445,False,112.0,57.0,2,0.5759,0.2247,800445,0.0933,0.0245,125.7517,114.1218
755381,rev,BIN,96.0,78.95,False,20,backdrop_vignette_blob,expensive,0.2971,0.1358,40,0.34327,0.2383,0.8493,0.5788,0.9975,527.2,1502115,False,0.0,0.0,0,0.0493,0.9295,1502115,0.4364,0.4915,131.6597,70.3789
755383,obv,BIN,96.0,78.94,False,6,relief_self_segmentation,cheap,0.0,0.0,0,0.00064,0.3951,0.3616,0.5403,1.0,34.9,4212,False,54.0,63.0,3,0.3634,0.7187,4212,0.2861,0.2768,192.7363,103.9559
755383,obv,BIN,96.0,78.94,False,12,relief_self_segmentation,cheap,0.0,0.0,0,0.00015,0.6331,0.4629,0.4972,1.0,14.7,726,False,84.0,40.0,3,0.247,0.8859,726,0.1007,0.8309,207.2521,60.7554
755383,obv,BIN,96.0,78.94,False,15,relief_self_segmentation,cheap,0.0,0.0,0,0.00196,0.2157,0.4369,0.4681,0.9976,55.5,14896,False,51.0,41.0,3,0.3444,0.6508,14896,0.1322,0.8182,153.2963,48.9575
755383,obv,BIN,96.0,78.94,False,45,relief_self_segmentation,cheap,0.0,0.0,0,0.0004,0.2124,0.1096,0.4834,1.0,50.2,7623,False,90.0,95.0,2,1.5309,0.6903,7623,0.1753,0.2694,212.1008,111.3281
755383,obv,BIN,96.0,78.94,False,50,relief_self_segmentation,cheap,0.0,0.0,0,0.00034,0.3261,0.2394,0.4817,1.0,31.0,3450,False,71.0,40.0,8,0.4083,0.6081,3450,0.1418,0.6869,176.0691,69.1477
755383,obv,BIN,96.0,78.94,False,54,relief_self_segmentation,cheap,0.0,0.0,0,0.0004,0.5762,0.617,0.5789,1.0,21.0,1936,False,25.0,21.0,5,0.1437,0.8292,1936,0.2408,0.6117,170.917,70.2343
755383,obv,BIN,96.0,78.94,False,60,relief_self_segmentation,cheap,0.0,0.0,0,0.00032,0.3267,0.3474,0.5222,1.0,25.0,2394,False,86.0,53.0,3,0.3776,0.655,2394,0.1861,0.6819,129.9161,65.301
755383,obv,BIN,96.0,78.94,False,66,multi_object_weld,expensive,0.0443,0.0052,11,0.22656,0.0182,0.5473,0.5278,0.9638,533.5,1365302,False,1.0,69.0,1,0.0969,0.6595,1365302,0.3712,0.5157,158.3794,75.5225
755384,obv,BIN,96.0,78.94,False,0,relief_self_segmentation,cheap,0.0,0.0,0,0.00022,0.096,0.0528,0.3282,1.0,53.7,6250,False,95.0,61.0,3,4.208,0.417,6250,0.2472,0.5777,117.2466,86.1089
755384,obv,BIN,96.0,78.94,False,3,relief_self_segmentation,cheap,0.0,0.0,0,0.00014,0.1758,0.0936,0.3621,1.0,32.5,1872,False,72.0,123.0,3,1.1289,0.6195,1872,0.2242,0.6179,110.1335,85.4004
755384,obv,BIN,96.0,78.94,False,7,relief_self_segmentation,cheap,0.0,0.0,0,0.00016,0.5615,0.4024,0.5059,1.0,16.6,1073,False,55.0,70.0,3,0.357,0.8831,1073,0.247,0.6475,172.6253,75.3189
755387,obv,BIN,29.66,78.94,False,11,sub_coin_noise_blob,cheap,0.0,0.0,0,0.0018,0.1829,0.1769,0.3307,0.0,83.7,20844,False,53.0,76.0,4,0.5821,0.6141,20844,0.1669,0.1653,65.3547,47.0404
755387,obv,BIN,29.66,78.94,False,12,sub_coin_noise_blob,cheap,0.0,0.0,0,0.00211,0.1289,0.1787,0.3118,0.0,90.0,27170,False,108.0,79.0,3,0.6776,0.5466,27170,0.1672,0.1332,65.536,49.4261
755387,obv,BIN,29.66,78.94,False,26,sub_coin_noise_blob,cheap,0.0,0.0,0,0.00096,0.1456,0.2301,0.3584,0.0,53.7,11880,False,57.0,73.0,3,0.6444,0.4816,11880,0.1451,0.0264,75.2927,61.5188
755387,obv,BIN,29.66,78.94,False,33,sub_coin_noise_blob,cheap,0.0,0.0,0,0.00314,0.1998,0.278,0.3853,0.0,88.1,28424,False,81.0,89.0,3,0.5269,0.62,28424,0.2087,0.0535,75.8129,58.1714
755387,obv,BIN,29.66,78.94,False,132,low_contrast_coastline,expensive,0.1839,0.0314,47,0.32165,0.2751,0.8432,0.6161,0.9996,512.1,1406496,False,0.0,0.0,0,0.0407,0.9393,1406496,0.2688,0.1764,104.6479,51.3218
755387,rev,BIN,30.35,78.95,False,11,sub_coin_noise_blob,cheap,0.0,0.0,0,0.00162,0.1557,0.1345,0.3039,0.0,91.1,24426,False,55.0,104.0,2,1.9801,0.525,24426,0.2058,0.1158,63.4141,47.9133
755387,rev,BIN,30.35,78.95,False,14,sub_coin_noise_blob,cheap,0.0,0.0,0,0.00318,0.1659,0.1532,0.3069,0.0,119.5,38056,False,111.0,57.0,4,0.5573,0.6784,38056,0.1731,0.1589,64.0921,49.2815
755387,rev,BIN,30.35,78.95,False,43,sub_coin_noise_blob,cheap,0.0,0.0,0,0.00027,0.3903,0.341,0.5277,1.0,23.4,1596,False,46.0,33.0,6,0.2268,0.6616,1596,0.1355,0.0049,76.4124,58.1642
755387,rev,BIN,30.35,78.95,False,60,sub_coin_noise_blob,cheap,0.0,0.0,0,0.00197,0.1883,0.1794,0.3525,0.0,87.0,22663,False,71.0,93.0,3,0.7262,0.6107,22663,0.1579,0.0186,74.3391,61.4242
755387,rev,BIN,30.35,78.95,False,65,sub_coin_noise_blob,cheap,0.0,0.0,0,0.00033,0.2544,0.2212,0.4398,1.0,31.8,3724,False,84.0,88.0,2,0.9422,0.5332,3724,0.2996,0.039,74.9974,50.9292
755387,rev,BIN,30.35,78.95,False,75,attached_artifact,cheap,0.0,0.0,0,0.00725,0.1318,0.1834,0.34,0.0,164.8,79056,False,109.0,58.0,5,0.6321,0.6271,79056,0.1308,0.053,77.5796,69.2597
755387,rev,BIN,30.35,78.95,False,146,low_contrast_coastline,expensive,0.1531,0.0148,49,0.33877,0.22,0.7842,0.5936,0.9993,545.0,1498880,False,0.0,0.0,0,0.0452,0.9263,1498880,0.2265,0.1223,107.77,59.9591
755391,obv,BIN,31.57,78.94,False,7,sub_coin_noise_blob,cheap,0.0,0.0,0,0.00061,0.2622,0.2202,0.3541,0.0,43.7,6006,False,91.0,38.0,4,0.4008,0.6232,6006,0.1535,0.0284,65.6407,54.4835
755392,obv,BIN,30.18,78.94,False,11,sub_coin_noise_blob,cheap,0.0,0.0,0,0.0011,0.2152,0.1732,0.3215,0.0,66.1,13005,False,89.0,58.0,4,0.6225,0.6096,13005,0.1458,0.0816,66.664,52.8405
755392,obv,BIN,30.18,78.94,False,17,relief_self_segmentation,cheap,0.0,0.0,0,0.00078,0.2191,0.1071,0.3263,0.9796,70.7,15162,False,110.0,81.0,2,1.5112,0.7793,15162,0.3551,0.1457,97.4994,48.0467
755392,obv,BIN,30.18,78.94,False,19,sub_coin_noise_blob,cheap,0.0,0.0,0,0.00182,0.1798,0.2336,0.3747,0.0,73.1,18080,False,81.0,61.0,4,0.5386,0.6078,18080,0.1314,0.0024,75.9756,65.852
755392,obv,BIN,30.18,78.94,False,21,relief_self_segmentation,cheap,0.0,0.0,0,0.00104,0.0933,0.0511,0.3414,0.9654,118.3,29505,False,150.0,81.0,2,5.1427,0.4198,29505,0.1383,0.0445,105.0116,87.0816
755392,obv,BIN,30.18,78.94,False,23,relief_self_segmentation,cheap,0.0,0.0,0,0.00022,0.0824,0.0416,0.3118,0.9958,60.5,7614,False,71.0,79.0,2,3.0331,0.5349,7614,0.0609,0.0002,120.2671,91.6329
755392,obv,BIN,30.18,78.94,False,37,relief_self_segmentation,expensive,0.0,0.0,0,0.01163,0.0412,0.0365,0.3761,0.9623,468.1,831168,False,119.0,64.0,2,0.8629,0.0913,831168,0.0531,0.0224,109.6289,115.5348
755393,obv,BIN,30.66,78.94,False,3,sub_coin_noise_blob,cheap,0.0,0.0,0,0.00035,0.33,0.4045,0.3542,0.0,24.4,2585,False,58.0,35.0,5,0.4034,0.6399,2585,0.0,0.0,65.9493,62.6928
755393,obv,BIN,30.66,78.94,False,11,sub_coin_noise_blob,cheap,0.0,0.0,0,0.00308,0.0404,0.0236,0.2704,0.956,299.9,187068,False,152.0,47.0,2,1.4188,0.1496,187068,0.1179,0.0573,82.2736,84.9115
755393,obv,BIN,30.66,78.94,False,14,relief_self_segmentation,cheap,0.0,0.0,0,0.00035,0.1099,0.0542,0.3654,0.9836,66.2,12180,False,103.0,90.0,2,2.7171,0.6715,12180,0.1418,0.0015,94.8101,70.4336
755393,obv,BIN,30.66,78.94,False,16,relief_self_segmentation,cheap,0.0,0.0,0,0.00055,0.0984,0.0535,0.3922,0.9664,83.9,18849,False,135.0,69.0,2,1.4198,0.5436,18849,0.1149,0.0023,97.5208,82.7798
755393,obv,BIN,30.66,78.94,False,18,relief_self_segmentation,cheap,0.0,0.0,0,0.00032,0.0922,0.0453,0.3299,1.0,69.9,8232,False,145.0,46.0,3,2.4249,0.5239,8232,0.0195,0.0,102.0656,80.1848
755394,obv,BIN,96.0,78.94,False,2,relief_self_segmentation,cheap,0.0,0.0,0,0.00029,0.2727,0.2213,0.4627,1.0,30.0,2948,False,103.0,83.0,3,0.593,0.6281,2948,0.1107,0.8333,138.7697,55.4225
755394,obv,BIN,96.0,78.94,False,33,relief_self_segmentation,cheap,0.0,0.0,0,0.00046,0.153,0.0929,0.4176,1.0,58.1,10750,False,140.0,83.0,3,1.587,0.3947,10750,0.1202,0.4533,197.7726,94.3901
755394,obv,BIN,96.0,78.94,False,47,relief_self_segmentation,cheap,0.0,0.0,0,0.00175,0.2431,0.3983,0.547,1.0,54.9,11590,False,61.0,62.0,4,0.3157,0.6699,11590,0.2025,0.3904,192.9025,98.7049
755394,obv,BIN,96.0,78.94,False,50,relief_self_segmentation,cheap,0.0,0.0,0,0.00021,0.2107,0.1613,0.454,1.0,29.6,2584,False,111.0,111.0,2,1.5459,0.5292,2584,0.2481,0.5458,151.4554,81.4142
755394,obv,BIN,96.0,78.94,False,62,relief_self_segmentation,cheap,0.07,0.035,1,0.04883,0.0517,0.318,0.5209,0.9991,324.9,408216,False,62.0,42.0,4,0.3475,0.5583,408216,0.1289,0.3482,182.0776,120.3053
755394,obv,BIN,96.0,78.94,False,65,multi_object_weld,expensive,0.1563,0.0283,17,0.19824,0.0445,0.5056,0.5424,0.9946,519.2,1477927,False,9.0,0.0,0,0.0801,0.5461,1477927,0.1776,0.4002,164.9617,107.5415
755395,obv,BIN,29.8,78.94,False,19,sub_coin_noise_blob,cheap,0.0,0.0,0,0.00029,0.2255,0.1363,0.3716,1.0,38.1,3784,False,123.0,42.0,2,0.7742,0.5984,3784,0.2182,0.0317,142.7179,66.8384
